profile-config,,
last-modified,name,profile-id,vendor,protocol,available-version,products-supported,plugin-class,versions-supported,device-type
2019-03-07 16:28:31,batm-t-marc-300,batm-t-marc-300,BATM Advanced Communications Ltd.,SNMP,7.0.2,T-Marc,,300 Series,DEMARCATION_DEVICE
2019-03-07 16:28:31,adtran-netvanta,adtran-netvanta,"Adtran, Inc",SNMP,7.0.2,Netvanta,,*,UNKNOWN
2019-03-07 16:28:31,adtran-aoe,adtran-aoe,Adtran,SNMP,7.0.2,AOE,,*,MANAGER
2019-03-07 16:28:30,xtera-nuwave-optima,xtera-nuwave-optima,Xtera Communications,TL1,7.0.3,NuWave Optima,,.*,MANAGER
2019-03-07 16:28:30,seldon-continuity-sps,seldon-continuity-sps,Seldon Systems,SNMP,7.0.2,Continuity SPS,,*,MANAGER
2019-03-07 16:28:30,nec-nlite-n,nec-nlite-n,NEC,SNMP,7.0.2,NLite-N,,*,MICROWAVE_RADIO
2019-03-07 16:28:30,infoblox-grid,infoblox-grid,"Infoblox, Inc.",SNMP,7.0.6,Infoblox-grid,,*,UNKNOWN
2019-03-07 16:28:30,huawei-u2000-snmp,huawei-u2000-snmp,Huawei Technologies,SNMP,7.0.11,Huawei U2000,,*,MANAGER
2019-03-07 16:28:30,fujitsu-flm-150,fujitsu-flm-150,Fujitsu,TL1,7.0.5,FLM,,.*,ADM
2019-03-07 16:28:30,fujitsu-flashwave-4500-r11,fujitsu-flashwave-4500-r11,Fujitsu,TL1,7.0.10,Flashwave-4500,B,"4.1,4.2",MSPP
2019-03-07 16:28:30,evertz-7000,evertz-7000,Evertz,SNMP,7.0.17,"evertz 7700,7800,7867",C,*,UNKNOWN
2019-03-07 16:28:30,dps-ng420,dps-ng420,DPS Telecom,SNMP,7.0.2,DPS Telecom NetGuardian 420,,*,UNKNOWN
